Strategy,Model,Fold,Test_Participant,Test_Acc,Test_F1,Test_Loss
LOSO,DNN,1,01,0.5387931034482759,0.5201712752754949,1.289975362605062
LOSO,LSTM,1,01,0.7661637931034483,0.7706122529130168,0.9959265995642235
LOSO,Transformer,1,01,0.6810344827586207,0.6704247232730245,1.4654275840469475
LOSO,SDCNet,1,01,0.8308189655172413,0.8336760827965908,0.6262454674820063
LOSO,DNN,2,02,0.5443722943722944,0.5601876076288467,1.2513606905679167
LOSO,LSTM,2,02,0.6439393939393939,0.6527700930044523,1.9220837628170526
LOSO,Transformer,2,02,0.5768398268398268,0.5798181358229558,2.0702729222578404
LOSO,SDCNet,2,02,0.7261904761904762,0.7257434031187437,1.3570827286996883
LOSO,DNN,3,03,0.6748329621380846,0.6703982486643422,0.725098769887784
LOSO,LSTM,3,03,0.856347438752784,0.8563915192132022,0.5122385510390745
LOSO,Transformer,3,03,0.77728285077951,0.7781436926914468,0.956108042058747
LOSO,SDCNet,3,03,0.876391982182628,0.8791734804745301,0.42101398156268754
LOSO,DNN,4,04,0.5754010695187166,0.5031492107164184,1.1191655273743493
LOSO,LSTM,4,04,0.3433155080213904,0.29227861577826114,1.5428424789306314
LOSO,Transformer,4,04,0.6695187165775401,0.639879617361023,1.7167910892934723
LOSO,SDCNet,4,04,0.7679144385026738,0.7475869901597867,1.0149923779882173
LOSO,DNN,5,05,0.5299684542586751,0.5307975036953934,1.3034745179014877
LOSO,LSTM,5,05,0.6340694006309149,0.6290366085804611,2.139180982902599
LOSO,Transformer,5,05,0.5583596214511041,0.5297675327522472,2.712665475129329
LOSO,SDCNet,5,05,0.7381703470031545,0.7336363554224767,1.3376202888857303
LOSO,DNN,6,06,0.6282051282051282,0.5698336081450511,0.8957770033779308
LOSO,LSTM,6,06,0.8279914529914529,0.8299505883766433,0.722963001483526
LOSO,Transformer,6,06,0.7307692307692307,0.7330631993431933,1.5216077867990885
LOSO,SDCNet,6,06,0.8579059829059829,0.8589588101512297,0.4181270177802469
LOSO,DNN,7,07,0.6444929116684842,0.6038907568834715,0.8295594284812653
LOSO,LSTM,7,07,0.6412213740458015,0.6213579506795286,1.189193789415557
LOSO,Transformer,7,07,0.7284623773173392,0.7199894479508032,1.1944658620081916
LOSO,SDCNet,7,07,0.816793893129771,0.8124462040220293,0.6694176477200332
LOSO,DNN,8,08,0.5961123110151187,0.5920095297394938,1.1288516784074754
LOSO,LSTM,8,08,0.562634989200864,0.5631035135700782,1.283200629586535
LOSO,Transformer,8,08,0.58207343412527,0.5708215621553937,2.4724001539448683
LOSO,SDCNet,8,08,0.6792656587473002,0.6744477474156406,1.3427412847205835
LOSO,DNN,9,09,0.5251959686450168,0.5229812187748017,1.0130607304888102
LOSO,LSTM,9,09,0.3281075027995521,0.2982081904161984,1.6655517211820083
LOSO,Transformer,9,09,0.8006718924972005,0.8034841404696885,0.7338867271600619
LOSO,SDCNet,9,09,0.8174692049272116,0.8182625771136033,0.6392036580959333
LOSO,DNN,10,10,0.6275346851654215,0.5939195521385147,0.9902711998563948
LOSO,LSTM,10,10,0.41302027748132336,0.3148817191893977,1.5099707101426996
LOSO,Transformer,10,10,0.6254002134471718,0.6243842720691185,2.154198970649642
LOSO,SDCNet,10,10,0.7652081109925294,0.7589608619857874,0.7418758640962324
LOSO,DNN,11,11,0.6266094420600858,0.626995131610291,0.9762610202183539
LOSO,LSTM,11,11,0.7242489270386266,0.7294488879163425,0.9324274235784752
LOSO,Transformer,11,11,0.75,0.750665239674522,1.1874462418545981
LOSO,SDCNet,11,11,0.8508583690987125,0.8520980341316692,0.4521792248498984
LOSO,DNN,12,12,0.7751937984496124,0.7519742996692068,0.612965500499983
LOSO,LSTM,12,12,0.9435215946843853,0.9437687931104062,0.18088174301714266
LOSO,Transformer,12,12,0.9003322259136213,0.9012230465662417,0.4351459286121006
LOSO,SDCNet,12,12,0.9634551495016611,0.9633391582721369,0.18355266651028307
LOSO,DNN,13,13,0.7158234660925726,0.7142951323282765,0.8909140978934819
LOSO,LSTM,13,13,0.7965554359526372,0.7953314790853463,0.9430803214235711
LOSO,Transformer,13,13,0.7771797631862217,0.7711682758546816,1.1542667881523
LOSO,SDCNet,13,13,0.8439181916038752,0.8434988670506702,0.7431669079468548
LOSO,DNN,14,14,0.59244126659857,0.5907453436426104,1.0382737540492486
LOSO,LSTM,14,14,0.8028600612870276,0.8021746179872135,0.7499145845348916
LOSO,Transformer,14,14,0.7303370786516854,0.7221043112013098,1.1580206194590013
LOSO,SDCNet,14,14,0.8335035750766088,0.8311161260974074,0.7721324411960009
LOSO,DNN,15,15,0.682454251883746,0.6649515269511602,0.7859253963561823
LOSO,LSTM,15,15,0.7545748116254036,0.7470912381228799,1.1043009431580404
LOSO,Transformer,15,15,0.7308934337997847,0.7138609550525803,1.1953875748530849
LOSO,SDCNet,15,15,0.8051668460710442,0.8008219632355916,0.7158658334264076
LOSO,DNN,16,16,0.675818373812038,0.6435516394950962,0.7349422332981195
LOSO,LSTM,16,16,0.8352692713833157,0.8328625682793198,0.5032267237383058
LOSO,Transformer,16,16,0.7961985216473073,0.7923461298524633,0.8115029898018516
LOSO,SDCNet,16,16,0.9007391763463569,0.9011829731946961,0.45867868148010726
LOSO,DNN,17,17,0.5387978142076503,0.48556842663374744,1.0229279671861826
LOSO,LSTM,17,17,0.7256830601092896,0.7201342038758813,1.0319318470407706
LOSO,Transformer,17,17,0.7934426229508197,0.7922091232096133,0.987323772711832
LOSO,SDCNet,17,17,0.8491803278688524,0.8487760774321852,0.5836209737863697
